wave_type,mean,max,min,sign,disorder,danger_level,recommended_measure
Delta,-23.226137684785453,-4.470718252574297,-41.048311378061484,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,3.1572755829752808,16.632529005787806,-9.091112274929245,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,16.215144940577247,33.30149759362227,8.562030495172737,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-13.552391915743023,-12.925855556973044,-21.212787911804163,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,2.972591056158059,7.114483396038549,-13.175582696404739,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-7.4582948515732355,8.833661171935624,-9.996944882078491,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-45.674583152805326,-31.13801125102711,-57.785040278866155,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-0.2900004753090144,12.711011981730996,-9.962005163241262,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,8.883179284463097,11.254058647624737,1.9100671965353975,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-35.350669979670315,-30.031261764900954,-49.540172593635226,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-47.4042424022413,-43.260905797152546,-57.032969915234375,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,0.4800808253516564,12.626530745739228,-6.10461923026834,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,25.31448721062742,35.61724565189795,23.757896059558725,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,32.1868632018857,32.231225870235626,20.205008493263144,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,21.0860712904569,32.75399123369661,7.918397075748832,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,16.61260749058995,25.82760723513777,7.176466238327476,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-4.671873536936431,-3.6019958909838916,-9.33859620266802,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-9.60248698492584,-2.182557402550888,-27.60977487409061,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-30.82578507718029,-22.106263611425792,-37.735362446267125,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-16.058656216934374,-8.554113409726918,-22.21089688066029,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-46.739836528778454,-28.033800913722423,-64.48044095358827,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-13.206814446073565,2.5567832543402425,-32.45273359599508,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-20.164304193862947,-0.38236837833920845,-38.212365731374476,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-38.26887015811387,-24.609994996745783,-56.78903882530928,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-17.18300111836694,-3.315480624915665,-28.56688984518997,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,8.876164888330116,17.764625871626823,-3.659816928971349,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,18.415624656109912,18.90129372888646,13.763738470342986,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-34.91281497284309,-30.627125969369963,-53.88669120522212,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-2.2899631261209876,16.111597156654646,-7.816892014164388,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,26.114587919239753,42.5662518539617,12.126523629337422,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,24.26891833002125,25.264785055167625,17.66195368383059,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-17.588370985611533,-7.7012146422652155,-36.11125218530188,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-47.785931030694925,-41.03652423700711,-48.15649180076753,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,2.2644397769199713,12.904546269644799,-3.493730994867989,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,24.670825136407984,32.824663512240335,18.9129416182026,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-30.20330075172436,-20.882011097113715,-47.783992890018865,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,43.405747347028694,51.06531297997748,25.46410548183151,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,18.308815903526764,33.43442601414757,15.336893575640357,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-37.19661096726783,-36.04126772077319,-48.532183278192804,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,21.096069490086023,40.68589417776043,17.999468406661897,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,13.079655949940246,30.071205527000135,11.508048763323426,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-47.901293436036184,-43.770230701989135,-54.80691409151962,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,6.754495797932904,8.683601504448397,-0.16063185665591106,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,40.38906696508907,46.23315144694534,30.975876619141896,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,21.598198348943413,33.137902120754305,4.036790689134641,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-14.471812433615291,3.773075395428293,-26.44801642763474,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,29.151935718325575,33.251476210581785,24.778790515206502,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-22.892116662627828,-19.03912228544827,-41.20898250695643,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-5.935470478353842,-0.7743517676819298,-10.68902594380074,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-41.66184614070245,-32.57257446300772,-44.785970669288574,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,22.25377271514121,26.553720164900483,16.595935707991057,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,11.812838339208554,12.268498972171221,8.271085701347408,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,25.444253075936913,25.71080969138107,14.971589500084603,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-38.992204599895054,-26.867082844341226,-51.680672212211235,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-28.3013139551336,-16.898564773543114,-46.99405839117763,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-34.04037909686129,-29.049334719435365,-38.28462123704582,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,7.325928238051951,10.044341882690508,2.432648107323663,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,15.353551311542901,22.848595092816318,6.987868045461411,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-27.8863766549998,-15.869612230838934,-39.18230083183245,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,30.678495174911376,36.10397617455278,22.42240712698333,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-29.691578495932745,-10.695005490338307,-49.4681378607945,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,9.635703314896475,12.709274046184674,1.8005902165173362,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-23.76205358273885,-6.833936987832963,-33.53926981445095,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,13.407650756527886,23.027851138343074,11.05190395601786,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,35.8663482381703,38.471754570868534,29.768450326857696,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-16.610658051543723,-11.185863356818786,-28.92952585449703,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-17.60875444076997,-14.458718683058251,-28.250641386135555,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,49.92712706699814,54.69898955254602,42.91482581989601,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-23.893688745460228,-20.898090794070203,-42.59506989466942,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-20.851095482938565,-1.0716211888185647,-32.44507726207139,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,15.668590374571622,28.18845841775972,10.322811265987587,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,21.09921941538154,24.747895856751974,17.91821117916924,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-5.532695877834385,4.515899723682811,-8.984487743834984,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,23.009362697148177,42.313374179066386,21.495351556355637,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-40.24173969070678,-39.3673375033608,-52.566909719966596,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,24.63645597164148,34.790765903856354,15.069150295906486,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,23.92260947292877,25.68795895847112,20.383725370776144,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,1.4873394284861234,10.871680429321767,-7.646583474800783,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,23.2805018438345,28.455452645588167,5.237750728370653,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-41.12473855108023,-21.412671102555024,-56.45685336224003,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-13.207722091344046,-10.490090745662691,-28.01172769894044,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,21.51408059004052,36.8843613454891,6.8911964476205565,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-48.7160661116482,-36.75191310323823,-67.56137633828365,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-6.796996507056242,-1.7791368581203795,-10.733344410671759,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-5.17962515482423,14.428238393057367,-8.136510721241322,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,21.734985287450073,34.91773191643024,6.868183544939807,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,36.349034957705456,36.655173165519,23.310648754540132,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,37.76100878823904,42.881917754006665,24.792639712901106,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,40.33933060803943,43.71101235933393,33.918447800953004,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-26.888978528280706,-7.143529085303033,-44.15320162815358,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-36.70258233372225,-17.156727649233247,-53.75546999197888,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-1.002866445297677,12.207372425119251,-7.896282011654044,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-4.313426891996841,4.5881196330131395,-5.781613500965625,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-34.58772797284952,-24.011855804247464,-42.32155903514238,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,34.378761743188875,47.637429703839594,21.28810765398759,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,1.8782463744156956,18.29846087742871,-1.8630887084679122,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,33.70733914731073,52.27986584389226,15.510347509403204,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,4.623828662110029,4.757770634666759,0.5089458559013185,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,8.312908035601154,14.86513747260049,-7.435300796994881,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,9.074740660035793,9.18282144793091,-2.1234209471255596,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,20.91591826903712,31.489395842451177,4.705714482124577,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,37.82736690588419,50.63127779563157,21.871518095398294,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-11.48111634578165,4.3310698253394175,-28.523161096505696,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,13.743450232472433,25.717345305105788,-2.1899745517608142,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-29.918246129644487,-12.865336766923399,-30.431339465754093,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,16.12213522870212,25.75538971438619,0.3726318151621122,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-10.16087349076151,-5.1447874628078845,-11.579027783971364,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,12.881119359325453,12.882511265326361,4.085071110223367,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-47.70089000213332,-38.744777748265264,-66.97899405861114,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-38.51815194044826,-24.99043623402374,-44.93560735377409,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-18.051642389560563,-11.163827742025209,-26.70564914212789,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-13.81800125459285,-4.453521697703016,-29.048728455538395,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-47.96182092516618,-46.11759958053511,-51.91720163898332,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,3.205908292777181,12.680454078376815,-3.6552483595972394,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,18.045885795325006,28.40586311157397,-0.09637491469138126,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,2.374892348596582,10.430173189487519,-11.343942946443324,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,29.418248969049145,32.92939287420733,18.458987184841646,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,17.91379926111148,31.62196443486492,2.9038254074345886,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-3.495563781191727,8.10378288593095,-12.645572493474932,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-44.8483683146224,-42.693947377977736,-59.41683669057432,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,5.199479165487098,6.761687348747663,-7.397849078474888,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,-6.567474832882972,11.21701454945962,-15.812780094495547,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,29.99459374332703,39.95909490042537,26.705913138115253,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,1.9331224316219036,10.508293638906967,-9.599176576313015,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-10.550466231962396,8.032764909276835,-15.440115560100205,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,34.3210933484753,41.57200496886854,22.024227954624724,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-34.98241984791434,-16.91713414855667,-43.51696454645669,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-49.743693834123484,-41.95543897020126,-57.21295910278245,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,14.605882137116708,20.222321249874007,-2.3684187554438694,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,-22.374667301501418,-9.472936075457788,-26.182879668122087,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,35.02889246598606,41.16461556355208,32.88683052584485,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,-22.604757590440137,-10.247817835848343,-38.97663870596713,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-30.57516931378258,-24.37257677147412,-34.043305069016846,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,-49.459139145623666,-39.558324203327345,-51.47130908825502,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-4.57983882448282,13.664011378518225,-10.865876144301513,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,21.720877265092525,39.357903617922574,16.884284456946567,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,1.9951659487260045,17.585986340918623,-11.836111707266786,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-7.2533209193716175,-2.49421527148834,-24.470292570289622,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-46.08621882657954,-35.35714568824217,-56.09274635523691,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,7.232158980506419,25.025394224536782,3.033031330347203,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-49.15780425040705,-46.65038474183635,-64.2514347676022,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-48.75671689983064,-46.781721051593,-68.34022993823716,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,36.19877559595426,38.075784530633186,28.99085379424624,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-37.79649699420585,-28.77448409861362,-41.67389909849669,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-32.243410453327556,-20.853325699540207,-37.00401937784347,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,23.293316150350563,28.735104536243085,17.52746816252384,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,46.71913944065659,55.28604005814797,30.642447323059823,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,22.506359033647215,42.28067201494388,21.97580658561997,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-10.879146867128938,-3.2135242718580646,-29.273377045291458,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,0.32891013306285544,18.65779432933057,-1.8278356078227551,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Delta,-24.987563909262324,-14.851396996815277,-40.678385070561184,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-30.18905472806601,-26.12036697150139,-37.967255149860335,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-1.9258844427134534,4.684174510317595,-3.3889994338490768,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,36.87979758851847,51.90354073239834,29.490803666208645,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,35.69124893038263,55.682536428234435,29.492975700149476,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-46.54898827381864,-29.82130894023801,-51.464173305475825,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-21.579373717296114,-1.6061548569036503,-28.066723753788303,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-1.8658587819567671,8.928191312020683,-2.653995995681616,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,22.952604695199057,31.424874577052876,16.10167046619967,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,38.97388839675784,58.6486018176403,22.99142555508454,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-46.83783386642334,-40.7398532825802,-61.06069135320919,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-3.8127179860933964,12.988475301365238,-22.184866909875034,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-5.576644109453497,13.22521882361908,-20.780765477457244,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Gamma,0.656212284932657,17.744271552330435,-19.15879796145921,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-44.02976069950293,-31.495529267577115,-63.6130714872717,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-35.43183501167848,-22.45921036856238,-41.460639561383125,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,12.497373419604727,17.246656662725908,10.533734051996976,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-19.58415348807914,-1.8301876073146701,-28.19741514037908,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,11.028894849033819,20.667415162557063,-7.719979099303163,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Delta,-10.267714450986709,-8.83987888461178,-10.784456364439993,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,0.20273269122309756,5.512657905158747,-5.451122107844608,positive,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,-35.48592924056592,-28.482409881429696,-46.60189303013301,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,37.33919612894377,51.61852806031477,34.60700187878918,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,14.62702103967544,30.18694962014287,-1.197793970501266,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,34.26810026441369,53.18372243088531,22.819284868106074,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,41.67120450139355,44.11686668051297,27.775494515323267,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-44.707259757133954,-43.645119959848955,-58.324245339773874,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,19.27549500459311,21.06962392069626,11.415205305163406,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,-21.740979950285798,-6.682034057508144,-28.594247519424766,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,39.63848920020983,56.67244241242048,28.571277605441068,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-46.4733545723243,-28.84440825943732,-51.64691247962392,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-23.202783865080924,-22.720325575314128,-30.45435627184741,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-40.790167584877445,-27.269846957534842,-46.56363663035459,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,21.216809514591233,26.338482606976747,20.115241553189016,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,22.969413562940403,32.1751179942752,15.272023455350407,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,30.978463694215762,46.749436380309646,13.746559878216615,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-29.616325489783357,-22.69820203025593,-30.27697684937533,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-21.853204695012487,-6.40032574445239,-27.383456875454428,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,28.612718832099347,31.07050118437535,21.649255133171064,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,33.7735864141077,52.230589430456334,23.78765126323139,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,41.224521154945606,53.41656991016691,32.818334656382376,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Delta,22.379197309878336,24.6113522989237,7.149864712656619,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-26.773176371831042,-10.455570475924564,-36.30036177907548,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,-44.94494434717019,-31.493446609481932,-59.899277953219475,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Theta,25.00501970058278,42.42135343878432,11.899278580194498,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Alpha,-37.800581543855614,-34.48104912692006,-56.27562963368046,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,35.40801414568608,54.479548681690744,22.46772867878142,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Beta,-15.12666824603994,-0.6694731534394833,-21.956490467847736,negative,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Theta,27.461200266524216,45.67359365270525,9.842030387997788,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Theta,-18.897290552672075,-11.576741684081258,-30.974501029190296,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-6.715580330335513,-4.7534497916136065,-18.90040312077954,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Alpha,16.99765906061384,36.36057998721704,5.610240161835419,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,14.844461272014598,33.81996233945514,-1.4882444891051243,positive,insomnia,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,13.173540036354701,14.686699007457268,-4.851977305712133,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Alpha,-27.830608597071237,-22.009342216821665,-29.539741037927193,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Delta,15.172962832470503,28.229988906587565,4.651709885621779,positive,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Gamma,-37.6101050418373,-21.87364851889971,-37.63942878380825,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Gamma,-22.40097814712392,-20.08842039667907,-42.07564030217935,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Beta,-18.164624465699085,-12.480247879895915,-20.220011678835867,negative,anxiety,Midlevel,Practice stress-reducing activities like yoga or meditation; consult a therapist if symptoms persist
Beta,26.861262406268068,46.683880452700635,14.96496690988571,positive,stress,Dangerous,Consult a neurologist and consider medication or therapy
Gamma,-44.040108068238304,-31.064788310782177,-47.607954243075525,negative,depression,Dangerous,Seek professional help immediately; therapy and antidepressants may be required
Alpha,-3.801995957503756,-3.7388692222615134,-14.527903787432036,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Beta,-7.435101498440552,-4.592867154414104,-13.588062667608453,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
Theta,-4.640515084931039,5.0065992679250915,-13.435490000181108,negative,neutral,Safe,No action needed; maintain a healthy lifestyle
